╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
  179s |       95.4 MB/s |   102.3 MB/s |     85,000 |    16,325,000 |   17.89 GB |       0
  180s |      101.0 MB/s |   102.3 MB/s |     90,000 |    16,415,000 |   17.99 GB |       0
  181s |       95.4 MB/s |   102.3 MB/s |     85,000 |    16,500,000 |   18.09 GB |       0
  182s |       73.0 MB/s |   102.1 MB/s |     65,000 |    16,565,000 |   18.16 GB |       0
  183s |      101.0 MB/s |   102.1 MB/s |     90,000 |    16,655,000 |   18.26 GB |       0
  184s |       22.4 MB/s |   101.7 MB/s |     20,000 |    16,675,000 |   18.28 GB |       0
  185s |      179.6 MB/s |   102.1 MB/s |    160,000 |    16,835,000 |   18.45 GB |       0
  186s |       89.8 MB/s |   102.1 MB/s |     80,000 |    16,915,000 |   18.54 GB |       0
  187s |       89.8 MB/s |   102.0 MB/s |     80,000 |    16,995,000 |   18.63 GB |       0
  188s |      123.5 MB/s |   102.1 MB/s |    110,000 |    17,105,000 |   18.75 GB |       0
  189s |       84.2 MB/s |   102.0 MB/s |     75,000 |    17,180,000 |   18.83 GB |       0
  190s |       95.4 MB/s |   102.0 MB/s |     85,000 |    17,265,000 |   18.92 GB |       0
  191s |       89.8 MB/s |   101.9 MB/s |     80,000 |    17,345,000 |   19.01 GB |       0
  192s |       89.8 MB/s |   101.8 MB/s |     80,000 |    17,425,000 |   19.10 GB |       0
  193s |      179.6 MB/s |   102.3 MB/s |    160,000 |    17,585,000 |   19.27 GB |       0
  194s |       89.8 MB/s |   102.2 MB/s |     80,000 |    17,665,000 |   19.36 GB |       0
  195s |       89.8 MB/s |   102.1 MB/s |     80,000 |    17,745,000 |   19.45 GB |       0
  196s |      106.6 MB/s |   102.1 MB/s |     95,000 |    17,840,000 |   19.55 GB |       0
  197s |       95.4 MB/s |   102.1 MB/s |     85,000 |    17,925,000 |   19.65 GB |       0
  198s |       95.4 MB/s |   102.1 MB/s |     85,000 |    18,010,000 |   19.74 GB |       0
  199s |       89.8 MB/s |   102.0 MB/s |     80,000 |    18,090,000 |   19.83 GB |       0
  200s |       89.8 MB/s |   102.0 MB/s |     80,000 |    18,170,000 |   19.92 GB |       0
